Epoch Number,Training Loss,Testing Loss
0,0.014197547799618593,0.020831667285944735
1,0.011755057268908025,0.03248479837618236
2,0.011272223729647382,0.022306844059910094
3,0.010595083147041157,0.02020574511594272
4,0.010241648770147984,0.021655837040660635
5,0.009902887995947166,0.02622957231609949
6,0.009658343139036747,0.021932191523124596
7,0.009359288521796122,0.032541877190981595
8,0.009073067929727735,0.02234105860614883
9,0.008697325321827869,0.02687833663575085
10,0.008261819793378856,0.03217148413282952
11,0.007911627160356705,0.032321501772717705
12,0.00744293182481694,0.028081541914226755
13,0.007126185266029846,0.028565635522162274
14,0.006629508515682528,0.03874786727828905
15,0.006247719783707026,0.052560290737476735
16,0.00595488422550261,0.04456589637058122
17,0.005591938835015642,0.04337851347268692
18,0.0053590097102440065,0.049257521983236074
19,0.005093140967843262,0.041858757995734255
20,0.004869412181415449,0.05414057729233589
21,0.00472004687073694,0.04795778446298625
22,0.004534190627023706,0.06191125211106347
23,0.004341435970397759,0.06289269055040288
24,0.004137083374889803,0.06278649103894297
25,0.004035769994111938,0.06857883250008204
26,0.003923573931081442,0.05185608160016792
27,0.0037917499860902087,0.06351639972334462
28,0.0036372446602922276,0.053849312177460106
29,0.0035471250856173907,0.07318334409501404
30,0.003470922557778043,0.06809179055770594
31,0.0033754444189576637,0.07913928314311695
32,0.0032651375267089082,0.06380270216946624
33,0.0031402558042583953,0.06582606572192162
34,0.003017409796508964,0.06808435412988599
35,0.0030114091039587067,0.07627343095373362
36,0.0028749662158177574,0.06847333445745919
37,0.0028005075004037426,0.07908026167258088
38,0.0027472261398302756,0.08315967949705996
39,0.002638768503073089,0.07636078392221991
40,0.002558465312427745,0.07881467386947147
41,0.0024709709779710876,0.07861128279806248
42,0.0024579954091629008,0.07360307572941695
43,0.0023310919100698797,0.08197648515592196
44,0.002210090647833386,0.08121742725571883
45,0.0021896033328815123,0.0847017952141219
46,0.0021354739394322596,0.08670079950908464
47,0.0020834908847060588,0.0691541145622198
48,0.002037276872821773,0.0836967924842611
49,0.0020092764963668868,0.06585929712413677
